TermID,TermName,ParentID
5,برنامه نویسی وب,478
6,پایتون,5
7,بازارهای مالی,0
8,دانشگاهی,0
9,آزمون و کنکور,0
10,هنر,0
11,سایر,0
21,آموزش برنامه نویسی اندروید,479
24,طراحی وب رسپانسیو,5
25,طراحی سایت با وردپرس,5
26,برنامه نویسی IOS,479
31,ارز دیجیتال,7
32,فارکس,7
34,بورس,7
38,آزمون کارشناسی,9
39,کارشناسی ارشد,9
40,آزمون دکتری,9
41,عکاسی,10
45,بازیگری,589
46,کارگردانی,589
50,آموزش فروش و بازاریابی,248
132,منابع انسانی,627
196,هوش مصنوعی و یادگیری ماشین,478
222,فیلمنامه نویسی,589
223,نویسندگی,589
224,طراحی گرافیک,10
225,وکالت,9
226,تافل,9
227,آیلتس,9
228,تولیمو,9
229,دولینگو,9
230,ریاضی,38
231,تجربی,38
232,هنر,38
233,زبان,38
239,نرم افزارهای کاربردی,11
240,زبان های خارجی,11
241,انگلیسی,240
242,چینی,240
243,روسی,240
244,آلمانی,240
245,فرانسوی,240
246,دیجیتال مارکتینگ,630
247,بازاریابی,630
248,فروش,630
249,مدیریت و رهبری,11
251,کارآفرینی,630
252,matlab,239
253,illustrator,239
254,photoshop,239
255,autocad,239
256,ICDL,239
257,P6,239
258,MSP,239
259,arena,239
260,access,239
261,excel,239
262,word,239
275,جاوا اسکریپت,5
278,برنامه نویسی کودکان و نوجوانان,5
279,Node.js,5
280,React.js,5
281,مجموعه طراحی شهری,39
282,کسب و کار,39
283,مدیریت بازرگانی و تجارت,39
284,مجموعه مهندسی فناوری اطلاعات,39
285,مجموعه مهندسی شیمی,39
286,علوم دام و طیور,39
287,اقتصاد کشاورزی,39
298,مدیریت دولتی,40
299,مدیریت بازرگانی,40
300,مدیریت کسب و کار,40
301,حقوق جزا و جرم شناسی,40
302,ادیان و عرفان,40
303,تربيت بدني مديريت ورزشي,40
304,مديريت فناوري اطلاعات,40
305,مدیریت پروژه و ساخت,40
306,كار آفريني،آینده پژوهی ومدیریت تکنولوژی,40
331,لینک سازی,246
332,تبلیغات کلیکی,246
333,ابزارهای دیجیتال مارکتینگ,246
335,تولید محتوا,246
336,ایمیل مارکتینگ,246
337,سئو SEO,246
338,کمپین تبلیغاتی,246
339,بازاریابی محتوا,246
340,کلمات کلیدی,246
341,تبلیغات آنلاین,246
342,ویدئو مارکتینگ,246
343,گوگل ادز,246
344,شبکه های اجتماعی,246
345,اصول دیجیتال مارکتنیگ,246
346,CRM و ارتباط با مشتری,246
347,گوگل آنالیتیکس,246
348,سرچ کنسول,246
349,تگ منیجر,246
350,پرسونابرندینگ,247
351,برندینگ,247
352,توسعه بازار,247
353,استراتژی بازاریابی,247
354,تحقیقات بازار,247
355,مفاهیم بازاریابی,247
356,مدیریت ارتباط با مشتری,248
357,اصول فروش,248
358,قیمت گذاری,248
359,مهارت فروش,248
365,فرهنگ سازمانی,627
377,استارت آپ,251
378,برنامه ریزی و مدل کسب و کار,251
379,pls,239
380,AMOS,239
381,LISREL,239
382,SPSS,239
410,بوت کمپ,0
416,موشن گرافی,10
418,بوت کمپ برنامه نویسی,410
419,بوت کمپ پایتون,410
420,بوت کمپ هوش مصنوعی,410
421,بوت کمپ دیجیتال مارکتینگ,410
422,بوت کمپ فروش و بازاریابی,410
423,بوت کمپ UI/UX,410
424,بوت کمپ وردپرس,410
425,نقاشی,10
426,بوت کمپ مدیریت محصول,410
427,بوت کمپ منابع انسانی,410
478,IT و علوم کامپیوتر,0
479,برنامه نویسی موبایل,478
480,پایگاه داده,478
481,برنامه نویسی بازی سازی,478
482,امنیت و شبکه,478
483,بلاکچین,478
484,واقعیت افزوده و مجازی,478
485,HTML,5
486,CSS,5
487,PHP,5
488,لاراول,5
489,Angular,5
490,Vue.js,5
491,کتابخانه‌های برنامه‌نویسی,5
492,Django,6
493,Flask,6
494,برنامه نویسی جاوا,21
495,برنامه نویسی کاتلین,21
496,برنامه نویسی سوئیفت,26
497,برنامه نویسی Objective-C,26
498,برنامه نویسی Cross Platform,479
499,برنامه نویسی Flutter,498
500,برنامه نویسی React Native,498
501,SQL,480
502,NoSQL,480
503,مدیریت پایگاه داده,480
504,طراحی پایگاه داده,480
505,BI,480
506,Big Data,480
507,MySQL,501
508,PostgreSQL,501
509,MongoDB,502
510,Firebase,502
511,Unity,481
512,Unreal Engine,481
513,Cocos2D,481
514,الگوریتم‌های یادگیری ماشین,196
515,پردازش زبان طبیعی,196
516,بینایی ماشین,196
517,شبکه‌های عصبی,196
518,ChatGPT,196
519,NLP,196
520,بیواینفورماتیک,196
521,پردازش سیگنال,196
522,محاسبات و الگوریتم‌های تکاملی,196
523,الگوریتم‌های فرا ابتکاری (متاهیوریستیک),196
524,هوش ازدحامی,196
525,امنیت سایبری,482
526,مبانی امنیت,482
527,شبکه‌های کامپیوتری,482
528,نفوذ به سیستم و هک اخلاقی,482
529,رمز نگاری,482
530,توکن سازی,483
531,قراردادهای هوشمند,483
532,توسعه واقعیت افزوده (AR),484
533,توسعه واقعیت مجازی (VR),484
534,توسعه بازی‌های AR و VR,484
535,طلا,7
536,آزمون خلبانی,9
537,مبانی هنر,10
538,هنرهای تجسمی,537
539,روانشناسی رنگ,537
540,رنگ شناسی,537
541,سبک اکسپرسینونیسم,537
542,سبک امپرسیونیسم,537
543,عکاسی صنعتی,41
544,عکاسی دیجیتال,41
545,عکاسی با موبایل,41
546,تنظیمات دوربین,41
547,اصول عکاسی,41
548,نرم افزارهای تدوین و ویرایش عکس,41
549,نقاشی بوم,425
550,نقاشی سیاه قلم,425
551,نقاشی روی پارچه,425
552,رنگ روغن,425
